Evento,Particle.Size,Particle.PT,Particle.Eta,Particle.Phi
0,1295,2.17076,0.938447,2.49873
0,1295,1.14444,0.501017,1.2751
0,1295,1.60119e-15,999.9,2.1588
0,1295,0.609983,7.87346,-0.264644
0,1295,0.987573,5.97525,-3.05938
0,1295,0.379769,1.69014,-2.03991
0,1295,0.919997,7.20968,0.984908
0,1295,0.919945,5.96394,-1.47665
0,1295,3.14143,1.45913,1.00933
0,1295,0.806929,2.16983,2.6753
0,1295,0.947224,2.43304,-0.79165
0,1295,0.443418,4.0719,-0.798719
0,1295,6.23687,-2.77194,-2.60334
0,1295,1.07704,-4.12875,-2.42549
0,1295,4.81026,-6.4664,2.37901
0,1295,0.552796,-4.67818,-0.510391
0,1295,1.51069,-4.78472,-2.97482
0,1295,4.54072,-6.4664,2.37901
0,1295,1.0071,4.79266,-2.35586
0,1295,0.405126,6.34628,0.920437
0,1295,1.86414,4.77046,1.68167
0,1295,9.39058e-14,999.9,0.651659
0,1295,1.04311e-13,-999.9,-2.47084
0,1295,0.919923,7.20956,0.984935
0,1295,3.06339,1.43393,1.01875
0,1295,1.93644,-1.19831,-2.01748
0,1295,0.386998,1.70895,-2.04882
0,1295,1.16718,4.035,-2.39625
0,1295,0.987813,5.97545,-3.05922
0,1295,0.920088,5.96405,-1.47689
0,1295,2.09443,1.13513,-3.09687
0,1295,5.36914,0.985472,2.69956
0,1295,3.08652,1.83587,2.84826
0,1295,2.54217,3.39969,-0.273291
0,1295,1.624,3.55878,-1.09403
0,1295,9.93014e-16,999.9,2.03444
0,1295,9.15513e-15,999.9,2.89661
0,1295,2.993e-15,-999.9,-0.267472
0,1295,0.662455,1.83296,-0.481085
0,1295,1.42955,-2.69173,2.79051
0,1295,0.096484,2.617,-0.326602
0,1295,1.41027,-1.67031,-1.92864
0,1295,4.40954,1.59712,-0.252032
0,1295,0.858676,-2.18054,-0.626012
0,1295,0.989664,-1.57268,-3.05772
0,1295,3.85994,-2.8147,0.0261124
0,1295,0.411415,6.71736,-2.11907
0,1295,0.596008,3.43005,-0.937394
