Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
484,3,23.3776,0.14654,0.846543
489,1,46.8125,-0.178382,0.873566
490,2,25.0961,-2.65621,0.486469
490,2,23.4523,-1.68253,-2.03014
491,3,62.8671,3.17528,2.20322
491,3,45.862,3.2151,-0.452386
491,3,23.1063,1.31505,-1.88966
492,4,70.535,-1.10679,1.43299
492,4,39.5638,-3.17482,0.282842
492,4,39.3754,-2.04994,-2.79952
492,4,37.6971,-4.3937,-1.41714
498,1,22.8993,-0.231064,-0.64215
500,2,71.08,-0.228622,1.62003
500,2,26.7655,1.79468,-1.38726
503,1,29.698,2.18909,-0.179046
504,1,41.11,0.323075,0.296658
505,2,29.5185,-2.40495,0.322644
505,2,23.7888,-1.90727,-2.58386
507,2,28.5901,0.912291,-0.26329
507,2,22.5341,1.51395,2.18053
508,1,24.8989,1.6553,1.87765
511,2,39.9177,0.272713,2.2325
511,2,31.6592,-0.280048,-0.269589
512,2,24.2799,-1.34832,-0.322823
512,2,22.974,1.00689,-2.82027
515,1,22.7649,1.16548,-0.207583
516,3,39.1299,-2.09538,-1.37041
516,3,30.0875,-0.0816141,2.33988
516,3,23.4483,0.898489,0.550701
518,3,42.7557,0.478963,0.667303
518,3,29.9408,0.668853,2.42183
518,3,29.1317,0.803166,-1.77259
520,1,23.6266,0.986518,1.64629
522,2,41.3679,-1.23609,-0.658614
522,2,23.3048,-1.16365,2.49442
524,1,22.4929,-1.88508,-2.68643
528,2,26.2639,-3.88626,-0.237459
528,2,23.7059,-4.34572,3.12445
529,1,27.3717,2.22414,0.699174
530,2,51.4846,0.748777,3.04575
530,2,31.4488,-2.27621,0.242538
532,1,28.9829,1.12586,-0.707187
539,2,42.888,-0.606619,0.582488
539,2,24.3969,-0.98252,-2.39237
540,1,27.5604,-0.561411,-0.701849
545,1,45.7305,-2.64934,2.99279
546,2,32.8381,1.05996,-2.75847
546,2,22.3862,2.01489,2.72428
549,1,22.2899,2.35803,-2.82911
555,2,29.8886,-2.81816,1.4189
555,2,24.1598,-3.47668,-1.55818
559,1,39.0046,1.26296,1.63133
561,1,23.2782,0.221496,-2.18369
562,1,23.1961,0.896143,1.81701
563,1,41.3921,1.61402,3.10657
567,1,26.5634,1.43907,-0.291515
571,1,24.2409,0.897082,1.0253
572,1,29.1573,0.114292,-3.04071
573,2,31.5859,-0.213266,-1.74294
573,2,23.829,-3.02205,1.55868
574,2,58.7168,2.26505,2.90324
574,2,52.1964,0.881145,-0.393849
576,2,46.6202,-2.37918,-0.41958
576,2,32.6092,-0.342355,3.03798
577,1,23.1926,-3.26649,1.80018
579,2,96.9553,1.12051,2.6558
579,2,95.9004,-0.898532,-0.601684
580,1,31.9137,2.64364,2.90629
583,1,26.1626,-0.954975,0.996263
585,1,30.3349,-1.84347,-1.2835
589,2,37.5766,-3.93555,-1.81196
589,2,36.9424,-1.55058,1.09952
594,3,37.5659,-1.97523,-1.62392
594,3,35.8716,-1.23613,0.0396713
594,3,30.9035,1.62263,2.00516
598,2,33.7825,-0.426279,0.664667
598,2,23.766,-0.275483,-2.79996
600,1,22.9778,-1.23842,0.637629
603,1,30.4294,1.17901,-2.16662
604,1,23.5431,-0.995484,1.1583
606,2,64.434,1.11879,-0.019022
606,2,45.6319,-0.378469,-2.50906
607,1,22.6241,-3.12511,-1.69001
608,1,27.6292,-1.10342,-0.112917
615,2,26.7001,0.121181,0.847099
615,2,26.4686,-1.89764,-2.56039
617,3,27.0318,-2.35473,-2.32203
617,3,24.9119,-2.54959,0.341731
617,3,23.6662,1.18714,2.89465
620,1,26.0544,-0.287141,0.507687
621,2,30.7498,3.48505,0.636377
621,2,22.8272,-1.53943,1.9781
622,2,40.1405,-1.60819,-3.12562
622,2,25.2624,-1.03789,0.711858
626,1,26.5553,-1.05766,0.609361
630,1,34.1421,1.9738,1.63945
632,2,37.0315,-1.2113,2.50806
632,2,24.9421,-2.17751,0.903793
634,2,26.3058,2.48991,-0.148723
634,2,26.0258,0.621019,3.00696
635,1,22.4556,-3.47899,0.56553
637,1,23.0186,-2.44379,-0.578339
639,1,26.78,-1.70599,-0.144318
640,1,31.7838,0.733246,2.34687
641,1,25.109,-3.53293,-0.398308
642,1,23.1648,1.65885,0.138896
643,3,28.6525,3.56695,1.05813
643,3,23.3558,-1.18541,-0.117947
643,3,23.0332,2.88572,-2.40719
646,2,26.345,2.13847,2.36437
646,2,24.8514,2.82226,-0.988715
649,1,24.121,-0.537572,2.11141
651,1,23.0987,-4.04777,0.608818
652,2,45.0631,0.183399,2.3197
652,2,39.4002,-0.890628,-0.128037
654,1,27.8521,-1.06408,0.0178932
657,1,25.611,1.48804,-1.32721
659,1,26.2699,-0.0697651,2.36
674,1,22.7528,-1.23033,-1.7774
677,2,28.3211,0.760262,-2.76599
677,2,25.7509,-0.651887,1.60155
681,1,29.1394,-0.303553,-2.01933
687,1,33.1692,-1.96402,-0.60577
688,1,25.56,-1.24353,-2.6993
689,3,67.0535,-1.01011,-0.432114
689,3,27.9499,-0.353781,-2.68645
689,3,23.7754,1.00576,2.54854
693,1,32.3776,-1.22386,0.167081
695,1,23.3709,1.48735,-0.290784
698,4,82.4042,0.61481,1.77455
698,4,53.6538,-3.58155,2.5812
698,4,45.116,-3.48314,-2.0949
698,4,39.0325,2.18606,-0.682027
699,1,22.9879,0.291878,1.12118
700,1,23.938,0.476361,-2.48209
703,1,25.3672,1.37225,1.46619
707,3,47.0879,1.79108,0.957468
707,3,25.0323,1.84398,2.25857
707,3,24.1518,2.63518,-2.66513
708,1,42.6323,-0.958572,-2.29962
709,1,25.2501,1.10696,2.52747
711,2,54.8321,1.47087,0.305528
711,2,37.8979,3.10894,-2.99055
713,1,23.7772,4.03298,0.089104
715,1,25.5045,-1.19729,0.0012135
716,3,31.7376,3.2651,-0.786046
716,3,30.7199,2.02097,0.848403
716,3,25.0277,0.915951,-3.04138
721,1,39.1143,-1.43515,0.213038
722,1,23.0653,1.62506,-0.271855
724,2,33.7783,3.59666,-1.63377
724,2,22.9445,2.01596,1.50055
725,2,28.9828,0.407656,1.09631
725,2,22.5207,-1.43573,0.994244
729,1,23.7066,0.590945,-0.684878
730,1,33.2897,-1.48795,-1.97822
731,3,31.0336,1.16163,-1.10268
731,3,23.6818,-1.02876,1.8748
731,3,23.6562,-2.40668,-0.102757
732,1,25.2517,-0.518253,2.2097
735,1,35.2779,3.28415,-1.27044
740,1,23.8059,-0.811342,-1.02914
742,1,23.0361,2.11035,-0.491996
743,2,57.6938,0.248815,-1.46169
743,2,24.2346,0.869846,2.45147
744,1,26.1876,-1.14428,0.261047
745,1,26.5064,0.700123,-0.729897
747,2,38.7715,0.313981,-1.11304
747,2,31.4125,1.21069,1.5598
752,1,27.5209,0.151502,0.893266
754,1,25.2184,-0.400922,1.94887
756,1,24.5769,-4.1062,0.898407
758,1,28.4182,-3.70629,-3.121
759,1,25.6718,-2.14694,-0.345454
762,1,27.9002,2.16047,-2.79396
763,2,43.3756,0.361321,2.31502
