Jet_Eta Jet_Phi Particle_Eta Particle_Phi
-3.41322 0.771364 999.9 0
0.248355 1.2288 999.9 0
0.452383 0.653881 999.9 0
0.532917 3.0122 999.9 0
-0.215525 1.86102 999.9 0
-1.15239 2.32827 999.9 0
-1.46876 0.278788 999.9 0
-1.21685 -2.41095 999.9 0
1.27657 2.72035 999.9 0
1.78846 -0.628379 999.9 0
-1.98216 3.07287 999.9 0
2.59261 1.74184 999.9 0
0.910837 -0.354098 999.9 0
-2.02758 -0.867567 999.9 0
-2.05325 3.01231 999.9 0
-2.325 -3.06003 999.9 0
-0.0317684 -1.9865 999.9 0
-2.21356 -1.62156 999.9 0
4.21293 0.713029 999.9 0
-0.683707 2.88214 999.9 0
-3.87814 0.388483 999.9 0
-2.3083 1.1442 999.9 0
0.177454 -2.61223 999.9 0
2.28632 -1.27245 999.9 0
1.9636 -2.95223 999.9 0
-2.9885 1.68075 999.9 0
-1.67633 -2.21685 999.9 0
-0.661222 -1.02951 999.9 0
1.70715 -2.34896 999.9 0
0.233905 0.724608 999.9 0
-3.84659 2.60113 999.9 0
1.0058 -0.115723 999.9 0
-0.182192 -2.8879 999.9 0
3.61653 -2.69855 999.9 0
-1.69383 -1.88668 999.9 0
-1.90639 2.80886 999.9 0
-3.3099 -0.0963753 999.9 0
-2.89662 2.80907 999.9 0
2.65738 -1.78524 999.9 0
0.886507 -2.4399 999.9 0
4.41449 0.351872 999.9 0
-0.255094 0.826042 999.9 0
-2.11489 -0.0424924 999.9 0
0.641648 1.80051 999.9 0
-2.23146 1.04094 999.9 0
-1.29668 -1.4136 999.9 0
-0.571834 2.70698 999.9 0
4.50411 -0.357512 999.9 0
1.12219 0.827901 999.9 0
2.1778 0.927324 999.9 0
2.86982 -1.42673 999.9 0
-4.2325 2.98685 999.9 0
0.357966 0.766025 999.9 0
-0.427807 -1.83535 999.9 0
0.934391 1.38742 999.9 0
-1.90183 1.81099 999.9 0
-0.546514 2.90115 999.9 0
0.118276 2.19667 999.9 0
0.427083 2.66899 999.9 0
0.792037 3.06127 999.9 0
-0.443562 -0.610433 999.9 0
-0.5836 2.29034 999.9 0
0.382341 -3.01518 999.9 0
-3.99482 -2.84514 999.9 0
-0.952403 -1.9798 999.9 0
-1.61615 -0.408269 999.9 0
-2.01785 -2.55073 999.9 0
-1.06329 1.58108 999.9 0
-2.63707 -2.38062 999.9 0
-0.697616 -0.98783 999.9 0
0.471377 0.846943 999.9 0
-1.98907 1.22325 999.9 0
0.466921 -3.01652 999.9 0
-4.08334 2.36862 999.9 0
-3.63922 2.40759 999.9 0
1.63775 -2.12334 999.9 0
-1.09175 -0.828339 999.9 0
-1.7718 -1.74182 999.9 0
-2.62769 2.43769 999.9 0
-1.5693 -0.556915 999.9 0
0.788907 0.73498 999.9 0
-0.131114 1.6085 999.9 0
-2.08774 -2.95996 999.9 0
-1.61309 0.532686 999.9 0
-0.581842 0.790919 999.9 0
3.2948 1.72499 999.9 0
0.910036 0.999452 999.9 0
-2.16587 2.67571 999.9 0
0.611128 0.949666 999.9 0
-1.94156 1.38179 999.9 0
-0.501174 -1.4235 999.9 0
0.163358 -2.74518 999.9 0
0.0111284 1.81949 999.9 0
0.407621 -0.0803892 999.9 0
0.271043 1.4465 999.9 0
-2.00154 -1.4138 999.9 0
-2.14836 -2.86998 999.9 0
-1.40265 -2.64705 999.9 0
0.769242 2.7436 999.9 0
-0.015862 0.728044 999.9 0
0.216664 2.0353 999.9 0
0.378652 -0.913962 999.9 0
-1.95297 0.325615 999.9 0
-2.56787 -1.10724 999.9 0
-1.08038 -2.94142 999.9 0
3.3167 2.62256 999.9 0
0.270064 -2.60259 999.9 0
1.51077 1.60665 999.9 0
2.50921 1.92283 999.9 0
1.78802 2.84766 999.9 0
1.00545 -0.974386 999.9 0
0.384166 -0.942735 999.9 0
0.165889 2.87571 999.9 0
0.745865 -2.95905 999.9 0
-1.84714 0.68859 999.9 0
-1.46711 1.77596 999.9 0
-2.13556 -0.860806 999.9 0
-2.46008 2.17843 999.9 0
-1.17431 2.14269 999.9 0
-1.70163 1.14943 999.9 0
1.44827 -1.11136 999.9 0
-0.726698 1.67961 999.9 0
-0.568951 1.53967 999.9 0
-3.16253 1.35535 999.9 0
3.07878 2.47645 999.9 0
-1.52391 1.4588 999.9 0
-0.555108 -1.54323 999.9 0
0.42456 -1.85068 999.9 0
-0.700765 1.01432 999.9 0
4.49525 2.81251 999.9 0
3.35885 -0.735687 999.9 0
-2.91104 -1.63384 999.9 0
3.52252 -1.19514 999.9 0
-3.49072 2.36177 999.9 0
2.60738 -1.4773 999.9 0
-0.193161 1.3785 999.9 0
-2.0766 1.41437 999.9 0
-1.4748 3.06878 999.9 0
-3.16966 0.621879 999.9 0
1.70917 -0.426773 999.9 0
-0.206973 -0.263574 999.9 0
2.45936 -0.378244 999.9 0
2.61841 -0.0420514 999.9 0
-3.45647 -1.90288 999.9 0
1.73351 -2.37301 999.9 0
-3.55534 0.579182 999.9 0
-3.11733 1.7903 999.9 0
-1.80101 -2.81731 999.9 0
-0.571045 1.44529 999.9 0
-2.66823 3.12446 999.9 0
-0.704654 -2.58585 999.9 0
1.86039 3.01072 999.9 0
-3.27569 -2.58575 999.9 0
1.10748 0.557628 999.9 0
1.8903 -1.13892 999.9 0
1.59017 -1.00105 999.9 0
-1.36042 1.16208 999.9 0
0.926544 1.09518 999.9 0
0.316101 -0.922447 999.9 0
-1.16051 -0.879739 999.9 0
-3.04511 -1.10381 999.9 0
1.17048 1.46959 999.9 0
0.0423444 1.39338 999.9 0
-0.327774 2.58343 999.9 0
1.92764 2.33454 999.9 0
-2.47979 -2.20604 999.9 0
